elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,44,30,32.51,17,1534,Not Active,Not Active,Not Active
5.1,44,30,32.15,13,1535,Not Active,Not Active,Not Active
10.1,44,30,32.60,13,1532,Not Active,Not Active,Not Active
15.2,44,30,31.78,13,1516,Not Active,Not Active,Not Active
20.2,43,31,31.74,3,1619,Not Active,Not Active,Not Active
25.3,45,29,41.89,7,1665,Not Active,Not Active,Not Active
30.3,46,28,69.07,3,1635,Not Active,Not Active,Not Active
35.4,44,30,31.49,12,1660,Not Active,Not Active,Not Active
40.4,45,29,68.58,9,4581,Not Active,Not Active,Not Active
45.5,45,29,47.69,22,10231,Not Active,Not Active,Not Active
50.5,52,22,166.76,45,13992,Not Active,Not Active,Not Active
55.6,53,21,178.31,53,14014,Not Active,Not Active,Not Active
60.6,54,20,178.87,51,13988,Not Active,Not Active,Not Active
65.7,55,19,182.71,59,13984,Not Active,Not Active,Not Active
70.7,55,19,176.47,49,13984,Not Active,Not Active,Not Active
75.8,48,26,40.52,3,13984,Not Active,Not Active,Not Active
80.8,47,27,31.79,0,13984,Not Active,Not Active,Not Active
85.9,47,27,31.60,2,13984,Not Active,Not Active,Not Active
90.9,47,27,31.16,1,13983,Not Active,Not Active,Not Active
96.0,46,28,31.56,1,13983,Not Active,Not Active,Not Active
101.0,46,28,31.24,0,13983,Not Active,Not Active,Not Active
106.1,46,28,30.81,0,13983,Not Active,Not Active,Not Active
111.1,46,28,30.42,0,13983,Not Active,Not Active,Not Active
116.2,45,29,30.59,0,13983,Not Active,Not Active,Not Active
121.2,45,29,30.49,2,13983,Not Active,Not Active,Not Active
126.3,54,20,181.85,45,13983,Not Active,Not Active,Not Active
131.3,54,20,168.76,44,13983,Not Active,Not Active,Not Active
136.4,56,19,192.99,52,13983,Not Active,Not Active,Not Active
141.4,57,17,196.91,63,13983,Not Active,Not Active,Not Active
146.5,53,21,160.68,0,13983,Not Active,Not Active,Not Active
151.5,49,25,40.82,0,13983,Not Active,Not Active,Not Active
156.5,48,26,33.07,2,13983,Not Active,Not Active,Not Active
161.6,48,26,33.29,0,13983,Not Active,Not Active,Not Active
166.6,47,27,32.74,0,13983,Not Active,Not Active,Not Active
171.7,47,27,32.52,0,13983,Not Active,Not Active,Not Active
176.7,47,27,32.25,1,13983,Not Active,Not Active,Not Active
181.8,47,27,32.63,1,13983,Not Active,Not Active,Not Active
186.8,46,28,32.19,0,13983,Not Active,Not Active,Not Active
191.9,46,28,31.07,2,13981,Not Active,Not Active,Not Active
196.9,55,19,186.39,54,13977,Not Active,Not Active,Not Active
202.0,56,18,192.02,62,13977,Not Active,Not Active,Not Active
207.0,57,17,192.75,55,13977,Not Active,Not Active,Not Active
212.1,57,17,193.10,56,13968,Not Active,Not Active,Not Active
217.1,51,23,69.86,0,13966,Not Active,Not Active,Not Active
222.2,49,25,36.87,0,13966,Not Active,Not Active,Not Active
227.2,49,25,32.50,0,13966,Not Active,Not Active,Not Active
232.3,48,26,32.83,0,13966,Not Active,Not Active,Not Active
237.3,48,26,32.59,2,13966,Not Active,Not Active,Not Active
242.4,47,27,32.57,1,13966,Not Active,Not Active,Not Active
247.4,47,27,32.11,0,13966,Not Active,Not Active,Not Active
252.4,47,27,31.90,0,13966,Not Active,Not Active,Not Active
257.5,47,27,31.34,0,13966,Not Active,Not Active,Not Active
262.6,56,18,185.82,60,13966,Not Active,Not Active,Not Active
267.6,57,17,193.63,60,13965,Not Active,Not Active,Not Active
