elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,45,29,31.50,15,1948,Not Active,Not Active,Not Active
10.1,46,28,70.31,20,6553,Not Active,Not Active,Not Active
20.1,49,25,84.20,3,14330,Not Active,Not Active,Not Active
30.2,63,18,220.99,100,12027,Not Active,Not Active,Not Active
40.2,62,18,262.87,100,14215,Not Active,Not Active,Not Active
50.3,66,7,239.09,100,14188,Not Active,Not Active,Not Active
60.3,62,21,95.13,100,11644,Not Active,Not Active,Not Active
70.4,54,20,162.80,3,14174,Not Active,Not Active,Not Active
80.4,50,24,37.29,12,11560,Not Active,Not Active,Not Active
90.5,49,25,33.01,12,11536,Not Active,Not Active,Not Active
100.5,48,26,33.01,14,11547,Not Active,Not Active,Not Active
110.5,47,27,32.09,15,11548,Not Active,Not Active,Not Active
120.6,47,27,31.75,15,11560,Not Active,Not Active,Not Active
130.6,46,28,32.06,15,11546,Not Active,Not Active,Not Active
140.7,46,28,32.34,13,11546,Not Active,Not Active,Not Active
150.7,46,28,32.29,13,11546,Not Active,Not Active,Not Active
160.8,45,29,32.48,14,11546,Not Active,Not Active,Not Active
170.8,50,25,155.59,3,11634,Not Active,Not Active,Not Active
180.9,52,23,210.23,2,14168,Not Active,Not Active,Not Active
190.9,54,21,164.49,3,13122,Not Active,Not Active,Not Active
201.0,58,19,296.16,3,14253,Not Active,Not Active,Not Active
211.0,53,6,93.35,36,14197,Not Active,Not Active,Not Active
