elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,44,30,31.85,13,1952,Not Active,Not Active,Not Active
10.1,46,28,70.36,3,8050,Not Active,Not Active,Not Active
20.1,49,26,93.19,3,14202,Not Active,Not Active,Not Active
30.2,48,26,77.59,5,11656,Not Active,Not Active,Not Active
40.2,51,23,128.98,3,11141,Not Active,Not Active,Not Active
50.3,53,21,217.85,3,14159,Not Active,Not Active,Not Active
60.3,56,19,156.64,72,11670,Not Active,Not Active,Not Active
70.4,50,24,41.62,7,11694,Not Active,Not Active,Not Active
80.4,51,23,78.97,5,11616,Not Active,Not Active,Not Active
90.5,49,25,35.91,16,11620,Not Active,Not Active,Not Active
100.5,50,24,70.87,3,11615,Not Active,Not Active,Not Active
110.5,48,26,33.35,14,11615,Not Active,Not Active,Not Active
120.6,47,27,32.53,14,11614,Not Active,Not Active,Not Active
130.6,47,27,32.65,13,11614,Not Active,Not Active,Not Active
140.7,46,28,31.56,12,11614,Not Active,Not Active,Not Active
150.7,46,28,31.91,12,11614,Not Active,Not Active,Not Active
160.8,45,29,31.28,13,11614,Not Active,Not Active,Not Active
170.8,45,29,31.38,15,11614,Not Active,Not Active,Not Active
180.9,50,24,189.68,3,14248,Not Active,Not Active,Not Active
190.9,51,23,85.86,3,11665,Not Active,Not Active,Not Active
201.0,64,21,174.93,58,11559,Not Active,Not Active,Not Active
211.0,67,14,212.51,100,14204,Not Active,Not Active,Not Active
221.1,66,15,221.53,100,14148,Not Active,Not Active,Not Active
231.2,60,20,87.41,5,11622,Not Active,Not Active,Not Active
241.2,51,23,41.80,13,14272,Not Active,Not Active,Not Active
251.3,49,25,32.27,14,14272,Not Active,Not Active,Not Active
261.3,48,26,32.56,13,14272,Not Active,Not Active,Not Active
271.4,48,26,32.03,12,14272,Not Active,Not Active,Not Active
281.4,47,27,32.55,15,14272,Not Active,Not Active,Not Active
291.4,46,27,31.66,14,14269,Not Active,Not Active,Not Active
301.5,46,28,30.88,13,14278,Not Active,Not Active,Not Active
311.5,46,28,31.40,13,1957,Not Active,Not Active,Not Active
321.6,45,29,32.28,15,1956,Not Active,Not Active,Not Active
331.6,47,27,70.83,3,8364,Not Active,Not Active,Not Active
341.7,55,24,113.86,100,11607,Not Active,Not Active,Not Active
351.7,48,26,41.59,7,11451,Not Active,Not Active,Not Active
361.8,55,22,70.18,100,11695,Not Active,Not Active,Not Active
371.8,49,25,41.72,7,11713,Not Active,Not Active,Not Active
381.8,62,17,201.37,31,11713,Not Active,Not Active,Not Active
391.9,50,24,66.52,5,14303,Not Active,Not Active,Not Active
401.9,48,26,33.50,12,14303,Not Active,Not Active,Not Active
412.0,47,27,33.40,14,14303,Not Active,Not Active,Not Active
422.0,47,27,33.67,14,14305,Not Active,Not Active,Not Active
432.0,46,28,33.21,12,14305,Not Active,Not Active,Not Active
442.1,46,28,32.42,12,14305,Not Active,Not Active,Not Active
452.1,45,29,31.93,14,14309,Not Active,Not Active,Not Active
462.2,45,29,31.91,14,14311,Not Active,Not Active,Not Active
472.2,45,29,31.93,14,14309,Not Active,Not Active,Not Active
482.3,49,25,246.59,3,14310,Not Active,Not Active,Not Active
492.3,52,23,163.50,3,11486,Not Active,Not Active,Not Active
502.4,48,26,41.64,7,11770,Not Active,Not Active,Not Active
512.4,49,25,62.33,5,11527,Not Active,Not Active,Not Active
522.5,51,23,85.97,3,14165,Not Active,Not Active,Not Active
532.5,47,27,31.87,18,14167,Not Active,Not Active,Not Active
542.5,47,27,31.69,13,14166,Not Active,Not Active,Not Active
552.6,46,28,32.48,13,14174,Not Active,Not Active,Not Active
562.6,46,28,32.62,14,14166,Not Active,Not Active,Not Active
572.7,45,29,31.92,14,14163,Not Active,Not Active,Not Active
582.7,45,29,31.65,15,14164,Not Active,Not Active,Not Active
592.8,45,29,32.20,13,14166,Not Active,Not Active,Not Active
602.8,44,30,31.85,15,14166,Not Active,Not Active,Not Active
612.9,47,27,105.22,3,11554,Not Active,Not Active,Not Active
622.9,46,28,76.43,6,11626,Not Active,Not Active,Not Active
633.0,49,17,115.14,3,11606,Not Active,Not Active,Not Active
643.1,50,18,108.24,3,14287,Not Active,Not Active,Not Active
653.2,49,21,122.75,3,11705,Not Active,Not Active,Not Active
663.2,48,26,41.51,9,11697,Not Active,Not Active,Not Active
673.3,49,25,42.13,6,11575,Not Active,Not Active,Not Active
683.3,47,27,33.32,14,11573,Not Active,Not Active,Not Active
693.4,47,27,32.63,12,11572,Not Active,Not Active,Not Active
703.4,46,28,33.20,13,11576,Not Active,Not Active,Not Active
713.5,45,29,33.19,14,11577,Not Active,Not Active,Not Active
723.5,45,29,32.81,15,11589,Not Active,Not Active,Not Active
733.6,45,29,33.06,13,11576,Not Active,Not Active,Not Active
743.6,44,30,32.47,13,11576,Not Active,Not Active,Not Active
753.7,44,30,31.64,14,11576,Not Active,Not Active,Not Active
763.7,44,30,30.99,14,11576,Not Active,Not Active,Not Active
773.8,47,26,125.17,2,11702,Not Active,Not Active,Not Active
783.8,56,18,268.92,90,14184,Not Active,Not Active,Not Active
793.9,53,22,163.20,3,11964,Not Active,Not Active,Not Active
803.9,48,26,41.60,11,11536,Not Active,Not Active,Not Active
814.0,47,27,33.28,12,11536,Not Active,Not Active,Not Active
824.0,46,28,33.30,14,11554,Not Active,Not Active,Not Active
834.1,46,28,33.03,14,11532,Not Active,Not Active,Not Active
844.1,45,29,32.23,14,11532,Not Active,Not Active,Not Active
854.2,45,29,32.85,14,11532,Not Active,Not Active,Not Active
864.2,44,30,31.54,12,11540,Not Active,Not Active,Not Active
874.3,44,30,31.66,15,11536,Not Active,Not Active,Not Active
884.3,44,30,31.27,13,11536,Not Active,Not Active,Not Active
894.4,50,25,259.70,3,14186,Not Active,Not Active,Not Active
904.4,65,10,240.73,100,14304,Not Active,Not Active,Not Active
914.5,46,28,40.69,12,11730,Not Active,Not Active,Not Active
924.5,47,27,41.83,8,11719,Not Active,Not Active,Not Active
934.6,64,21,186.80,90,11659,Not Active,Not Active,Not Active
944.6,48,26,42.16,8,11790,Not Active,Not Active,Not Active
954.7,47,28,33.53,15,11786,Not Active,Not Active,Not Active
964.7,46,28,33.29,15,11786,Not Active,Not Active,Not Active
974.8,45,29,32.79,14,11787,Not Active,Not Active,Not Active
984.8,45,29,32.84,14,11787,Not Active,Not Active,Not Active
994.9,45,29,32.99,13,11794,Not Active,Not Active,Not Active
1004.9,44,30,32.00,13,11789,Not Active,Not Active,Not Active
1015.0,44,30,32.43,15,11789,Not Active,Not Active,Not Active
1025.0,44,30,31.89,15,11789,Not Active,Not Active,Not Active
1035.1,49,26,249.49,3,14393,Not Active,Not Active,Not Active
1045.1,57,25,64.40,99,11916,Not Active,Not Active,Not Active
1055.2,46,28,41.15,11,11725,Not Active,Not Active,Not Active
1065.2,48,27,58.48,6,11568,Not Active,Not Active,Not Active
1075.3,52,22,175.00,3,11576,Not Active,Not Active,Not Active
1085.3,47,27,32.71,13,11672,Not Active,Not Active,Not Active
1095.4,46,28,32.79,13,11672,Not Active,Not Active,Not Active
1105.4,46,28,32.65,14,11672,Not Active,Not Active,Not Active
1115.5,45,29,32.58,15,11672,Not Active,Not Active,Not Active
1125.5,45,29,32.52,13,11673,Not Active,Not Active,Not Active
1135.6,45,29,32.15,13,11671,Not Active,Not Active,Not Active
1145.6,44,30,32.49,16,11679,Not Active,Not Active,Not Active
1155.7,44,30,31.08,15,11674,Not Active,Not Active,Not Active
1165.7,44,30,32.22,13,11670,Not Active,Not Active,Not Active
1175.8,46,28,41.49,7,11472,Not Active,Not Active,Not Active
1185.8,50,24,133.89,3,11489,Not Active,Not Active,Not Active
1195.9,47,27,42.23,7,11747,Not Active,Not Active,Not Active
1205.9,52,22,191.43,3,11722,Not Active,Not Active,Not Active
1216.0,48,26,39.41,14,11197,Not Active,Not Active,Not Active
1226.0,48,26,40.12,14,14310,Not Active,Not Active,Not Active
1236.1,47,27,34.15,13,14309,Not Active,Not Active,Not Active
1246.1,46,28,32.88,13,14307,Not Active,Not Active,Not Active
1256.2,46,28,33.15,15,14307,Not Active,Not Active,Not Active
1266.2,45,29,32.78,15,14307,Not Active,Not Active,Not Active
1276.3,45,29,32.48,15,14314,Not Active,Not Active,Not Active
1286.3,44,30,32.32,15,14314,Not Active,Not Active,Not Active
1296.4,44,30,32.66,13,14313,Not Active,Not Active,Not Active
1306.4,44,30,32.22,13,14313,Not Active,Not Active,Not Active
1316.5,54,12,156.16,3,11681,Not Active,Not Active,Not Active
1326.5,46,28,41.44,10,11649,Not Active,Not Active,Not Active
1336.6,51,11,172.23,57,14265,Not Active,Not Active,Not Active
1346.6,57,24,82.89,38,11552,Not Active,Not Active,Not Active
1356.6,48,26,41.78,12,14188,Not Active,Not Active,Not Active
1366.7,47,27,33.31,13,14189,Not Active,Not Active,Not Active
1376.7,46,28,33.06,13,14188,Not Active,Not Active,Not Active
1386.8,46,28,33.08,15,14190,Not Active,Not Active,Not Active
1396.8,45,29,32.72,14,14190,Not Active,Not Active,Not Active
1406.9,45,29,32.34,15,14192,Not Active,Not Active,Not Active
1416.9,44,30,32.30,15,14189,Not Active,Not Active,Not Active
1427.0,44,30,31.69,13,14189,Not Active,Not Active,Not Active
1437.0,44,30,31.37,13,14189,Not Active,Not Active,Not Active
1447.1,51,25,269.86,3,14197,Not Active,Not Active,Not Active
1457.1,48,26,128.28,3,11637,Not Active,Not Active,Not Active
1467.2,47,27,42.03,9,11701,Not Active,Not Active,Not Active
1477.2,50,25,86.11,3,11679,Not Active,Not Active,Not Active
1487.3,52,23,219.25,3,14375,Not Active,Not Active,Not Active
1497.3,47,27,33.93,16,11573,Not Active,Not Active,Not Active
1507.3,46,28,33.31,13,11573,Not Active,Not Active,Not Active
1517.4,46,28,32.90,15,11573,Not Active,Not Active,Not Active
1527.4,45,29,33.13,15,11573,Not Active,Not Active,Not Active
1537.5,45,29,33.26,13,11573,Not Active,Not Active,Not Active
1547.5,45,29,32.78,13,11573,Not Active,Not Active,Not Active
1557.6,44,30,32.65,15,11587,Not Active,Not Active,Not Active
