elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,45,29,32.28,15,1956,Not Active,Not Active,Not Active
10.1,47,27,70.83,3,8064,Not Active,Not Active,Not Active
20.1,55,24,113.86,100,11607,Not Active,Not Active,Not Active
30.2,48,26,42.09,7,11451,Not Active,Not Active,Not Active
40.3,55,22,70.18,100,11695,Not Active,Not Active,Not Active
50.3,49,25,41.72,7,11713,Not Active,Not Active,Not Active
60.3,62,17,201.37,31,11713,Not Active,Not Active,Not Active
70.4,50,24,66.52,5,14303,Not Active,Not Active,Not Active
80.4,48,26,33.50,12,14303,Not Active,Not Active,Not Active
90.5,47,27,33.40,14,14303,Not Active,Not Active,Not Active
100.5,47,27,33.67,14,14305,Not Active,Not Active,Not Active
110.6,46,28,33.21,12,14305,Not Active,Not Active,Not Active
120.6,46,28,32.42,12,14305,Not Active,Not Active,Not Active
130.7,45,29,31.93,14,14309,Not Active,Not Active,Not Active
140.7,45,29,31.91,14,14311,Not Active,Not Active,Not Active
150.8,45,29,31.64,13,14309,Not Active,Not Active,Not Active
160.8,49,25,246.59,3,14310,Not Active,Not Active,Not Active
170.9,52,23,163.50,3,11486,Not Active,Not Active,Not Active
180.9,48,26,41.64,7,11770,Not Active,Not Active,Not Active
191.0,49,25,62.33,5,11527,Not Active,Not Active,Not Active
201.0,51,23,85.97,3,14165,Not Active,Not Active,Not Active
211.1,47,27,31.87,18,14167,Not Active,Not Active,Not Active
221.1,47,27,31.69,13,14166,Not Active,Not Active,Not Active
231.1,46,28,32.48,13,14174,Not Active,Not Active,Not Active
241.2,46,28,32.62,14,14166,Not Active,Not Active,Not Active
251.2,45,29,31.92,14,14163,Not Active,Not Active,Not Active
261.3,45,29,31.65,15,14164,Not Active,Not Active,Not Active
271.3,45,29,32.20,13,14166,Not Active,Not Active,Not Active
281.4,44,30,31.85,15,14166,Not Active,Not Active,Not Active
