elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,52,22,82.82,0,23183,Not Active,Not Active,Not Active
10.1,55,20,135.69,0,20723,Not Active,Not Active,Not Active
20.1,56,18,245.29,0,22907,Not Active,Not Active,Not Active
30.2,69,12,236.39,100,22911,Not Active,Not Active,Not Active
40.3,55,8,101.06,0,20205,Not Active,Not Active,Not Active
50.3,53,21,43.00,0,20509,Not Active,Not Active,Not Active
60.4,51,23,22.89,0,20509,Not Active,Not Active,Not Active
70.4,50,24,23.45,0,20509,Not Active,Not Active,Not Active
80.4,49,25,22.79,0,20509,Not Active,Not Active,Not Active
90.5,48,26,22.38,0,20518,Not Active,Not Active,Not Active
100.6,48,26,22.87,0,20518,Not Active,Not Active,Not Active
110.6,47,27,22.97,0,20518,Not Active,Not Active,Not Active
120.6,53,21,85.64,0,22782,Not Active,Not Active,Not Active
130.7,57,18,213.05,0,22786,Not Active,Not Active,Not Active
140.9,53,21,64.96,16,23556,Not Active,Not Active,Not Active
150.9,56,18,115.08,100,23524,Not Active,Not Active,Not Active
161.0,56,18,116.12,100,23524,Not Active,Not Active,Not Active
171.0,57,18,115.48,100,23524,Not Active,Not Active,Not Active
181.1,57,17,115.82,100,23524,Not Active,Not Active,Not Active
191.2,57,17,115.94,100,23524,Not Active,Not Active,Not Active
201.3,57,17,116.33,100,23524,Not Active,Not Active,Not Active
211.3,57,17,116.55,100,23524,Not Active,Not Active,Not Active
221.4,57,17,116.25,100,23524,Not Active,Not Active,Not Active
231.5,57,17,115.33,100,23524,Not Active,Not Active,Not Active
241.5,57,17,116.67,100,23524,Not Active,Not Active,Not Active
251.6,57,17,116.66,100,23524,Not Active,Not Active,Not Active
261.6,57,17,116.98,100,23544,Not Active,Not Active,Not Active
271.7,57,17,115.72,100,23544,Not Active,Not Active,Not Active
281.7,57,17,116.29,100,23544,Not Active,Not Active,Not Active
291.8,57,17,115.97,100,23544,Not Active,Not Active,Not Active
301.8,57,17,115.72,100,23544,Not Active,Not Active,Not Active
311.9,57,17,116.75,100,23544,Not Active,Not Active,Not Active
321.9,57,17,116.28,100,23544,Not Active,Not Active,Not Active
332.0,57,17,116.42,100,23544,Not Active,Not Active,Not Active
342.0,57,17,115.18,100,23544,Not Active,Not Active,Not Active
352.1,57,17,116.47,100,23544,Not Active,Not Active,Not Active
362.1,57,17,116.37,100,23544,Not Active,Not Active,Not Active
372.2,57,17,115.94,100,23544,Not Active,Not Active,Not Active
382.2,57,17,116.57,100,23544,Not Active,Not Active,Not Active
392.3,58,16,116.93,100,22966,Not Active,Not Active,Not Active
404.8,58,16,114.78,100,23448,Not Active,Not Active,Not Active
417.3,58,16,114.29,100,23448,Not Active,Not Active,Not Active
427.3,68,13,185.01,88,23434,Not Active,Not Active,Not Active
437.4,58,16,115.04,100,23434,Not Active,Not Active,Not Active
447.4,58,16,115.89,100,23434,Not Active,Not Active,Not Active
457.5,58,16,115.90,100,23434,Not Active,Not Active,Not Active
467.5,58,16,114.82,100,23434,Not Active,Not Active,Not Active
477.6,58,16,115.10,100,23434,Not Active,Not Active,Not Active
487.6,58,16,115.40,100,23434,Not Active,Not Active,Not Active
497.7,58,16,115.49,100,23434,Not Active,Not Active,Not Active
507.7,58,16,115.11,100,23434,Not Active,Not Active,Not Active
517.8,58,16,115.14,100,23434,Not Active,Not Active,Not Active
527.9,58,16,115.32,100,23434,Not Active,Not Active,Not Active
537.9,58,16,114.96,100,23434,Not Active,Not Active,Not Active
548.0,58,16,114.53,100,23434,Not Active,Not Active,Not Active
558.0,58,16,115.42,100,23434,Not Active,Not Active,Not Active
568.1,58,16,114.65,100,23434,Not Active,Not Active,Not Active
578.1,58,16,114.77,100,23434,Not Active,Not Active,Not Active
588.2,58,16,114.40,100,23434,Not Active,Not Active,Not Active
598.2,58,16,115.08,100,23434,Not Active,Not Active,Not Active
608.3,58,16,115.06,100,23434,Not Active,Not Active,Not Active
618.3,58,16,114.61,100,23434,Not Active,Not Active,Not Active
628.4,58,16,114.44,100,23434,Not Active,Not Active,Not Active
638.4,58,16,114.41,100,23434,Not Active,Not Active,Not Active
648.5,58,16,114.48,100,23434,Not Active,Not Active,Not Active
658.5,58,16,115.34,100,23434,Not Active,Not Active,Not Active
668.6,58,16,114.53,100,23434,Not Active,Not Active,Not Active
678.7,58,16,114.71,100,23434,Not Active,Not Active,Not Active
688.7,58,16,115.04,100,23434,Not Active,Not Active,Not Active
698.8,58,16,115.38,100,23434,Not Active,Not Active,Not Active
708.8,58,16,115.77,100,23434,Not Active,Not Active,Not Active
718.9,58,16,114.84,100,23434,Not Active,Not Active,Not Active
728.9,58,16,115.15,100,23434,Not Active,Not Active,Not Active
739.0,58,16,115.35,100,23434,Not Active,Not Active,Not Active
749.0,58,16,115.83,100,23434,Not Active,Not Active,Not Active
