elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.0,38,36,21.38,0,614,Not Active,Not Active,Not Active
10.1,38,36,20.75,0,614,Not Active,Not Active,Not Active
20.1,56,15,142.30,100,12858,Not Active,Not Active,Not Active
30.2,45,25,153.15,0,10360,Not Active,Not Active,Not Active
40.3,51,26,263.30,10,12844,Not Active,Not Active,Not Active
50.3,43,31,39.94,0,12802,Not Active,Not Active,Not Active
60.4,42,32,22.06,0,12802,Not Active,Not Active,Not Active
70.4,41,33,21.63,0,12802,Not Active,Not Active,Not Active
80.5,41,33,21.53,0,12802,Not Active,Not Active,Not Active
90.5,40,34,22.00,0,12802,Not Active,Not Active,Not Active
100.6,40,34,21.76,1,12802,Not Active,Not Active,Not Active
110.6,40,34,21.65,0,12802,Not Active,Not Active,Not Active
120.7,39,35,21.64,0,12802,Not Active,Not Active,Not Active
130.7,39,35,21.44,0,12802,Not Active,Not Active,Not Active
140.8,44,25,128.47,0,10382,Not Active,Not Active,Not Active
150.9,60,14,162.86,100,12962,Not Active,Not Active,Not Active
160.9,51,24,203.84,0,10400,Not Active,Not Active,Not Active
171.0,44,30,34.48,0,13014,Not Active,Not Active,Not Active
181.0,43,31,21.83,0,13014,Not Active,Not Active,Not Active
191.1,42,32,21.81,0,13014,Not Active,Not Active,Not Active
201.1,41,33,21.47,0,13014,Not Active,Not Active,Not Active
211.2,41,33,21.16,0,13014,Not Active,Not Active,Not Active
221.2,40,34,21.68,0,13014,Not Active,Not Active,Not Active
231.3,40,34,21.12,0,13014,Not Active,Not Active,Not Active
241.3,40,34,21.30,0,13014,Not Active,Not Active,Not Active
251.4,40,34,21.20,0,13014,Not Active,Not Active,Not Active
261.4,57,17,112.06,94,12940,Not Active,Not Active,Not Active
271.5,48,26,193.98,0,10312,Not Active,Not Active,Not Active
281.5,51,24,263.39,0,12858,Not Active,Not Active,Not Active
291.6,43,31,21.84,0,10244,Not Active,Not Active,Not Active
301.6,42,32,21.91,0,10244,Not Active,Not Active,Not Active
