elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
0.1,42,32,35.95,33,1981,Not Active,Not Active,Not Active
10.1,53,23,339.60,98,13008,Not Active,Not Active,Not Active
20.2,43,31,34.27,28,12970,Not Active,Not Active,Not Active
30.2,47,28,105.89,28,12969,Not Active,Not Active,Not Active
40.2,43,31,37.37,12,12932,Not Active,Not Active,Not Active
50.3,43,31,37.56,9,12933,Not Active,Not Active,Not Active
60.3,44,30,60.72,8,12868,Not Active,Not Active,Not Active
70.4,47,28,78.68,6,12923,Not Active,Not Active,Not Active
80.4,51,23,71.03,93,12946,Not Active,Not Active,Not Active
90.5,45,29,65.43,4,13062,Not Active,Not Active,Not Active
100.5,44,30,37.26,9,13061,Not Active,Not Active,Not Active
110.6,44,30,37.48,8,13061,Not Active,Not Active,Not Active
120.6,45,29,72.15,6,13073,Not Active,Not Active,Not Active
130.6,46,28,77.09,5,13069,Not Active,Not Active,Not Active
140.7,50,25,63.73,88,13039,Not Active,Not Active,Not Active
150.7,44,30,37.10,13,13039,Not Active,Not Active,Not Active
160.8,44,30,37.48,10,13039,Not Active,Not Active,Not Active
170.8,45,30,38.06,8,13039,Not Active,Not Active,Not Active
180.9,45,29,66.19,8,13039,Not Active,Not Active,Not Active
190.9,47,27,77.29,5,13037,Not Active,Not Active,Not Active
201.0,48,26,150.69,0,13073,Not Active,Not Active,Not Active
211.0,44,30,36.19,1,13064,Not Active,Not Active,Not Active
221.1,45,30,38.32,14,13044,Not Active,Not Active,Not Active
231.1,45,29,42.25,10,13013,Not Active,Not Active,Not Active
241.2,45,29,69.99,3,13054,Not Active,Not Active,Not Active
251.2,44,20,34.92,99,13015,Not Active,Not Active,Not Active
261.3,45,29,37.10,6,13009,Not Active,Not Active,Not Active
271.3,45,29,37.09,12,13002,Not Active,Not Active,Not Active
281.4,45,29,48.95,11,13011,Not Active,Not Active,Not Active
291.4,47,27,77.50,5,13004,Not Active,Not Active,Not Active
301.5,55,20,87.21,97,13004,Not Active,Not Active,Not Active
311.5,45,29,37.40,16,13045,Not Active,Not Active,Not Active
321.6,45,29,37.82,10,12999,Not Active,Not Active,Not Active
331.6,45,29,52.20,9,12976,Not Active,Not Active,Not Active
341.7,49,26,108.91,13,12976,Not Active,Not Active,Not Active
351.7,45,29,37.70,13,13067,Not Active,Not Active,Not Active
361.8,45,29,37.81,17,13087,Not Active,Not Active,Not Active
371.8,45,29,38.53,11,12978,Not Active,Not Active,Not Active
381.8,48,26,78.76,7,12974,Not Active,Not Active,Not Active
391.9,48,25,48.94,98,13023,Not Active,Not Active,Not Active
402.0,45,29,37.34,20,13024,Not Active,Not Active,Not Active
412.0,45,29,37.45,13,13018,Not Active,Not Active,Not Active
422.0,45,29,38.11,12,13018,Not Active,Not Active,Not Active
432.1,48,27,129.81,5,13021,Not Active,Not Active,Not Active
442.1,55,22,60.08,98,13016,Not Active,Not Active,Not Active
452.2,45,29,37.63,13,13016,Not Active,Not Active,Not Active
462.3,45,29,37.99,11,13016,Not Active,Not Active,Not Active
472.3,47,27,76.31,7,12969,Not Active,Not Active,Not Active
482.3,48,26,123.60,6,12955,Not Active,Not Active,Not Active
492.4,45,22,37.51,16,12966,Not Active,Not Active,Not Active
502.5,45,29,37.72,16,12966,Not Active,Not Active,Not Active
512.5,45,29,37.70,16,12966,Not Active,Not Active,Not Active
522.5,48,26,79.26,6,12966,Not Active,Not Active,Not Active
532.6,48,26,113.94,6,12960,Not Active,Not Active,Not Active
542.7,45,26,38.21,26,12960,Not Active,Not Active,Not Active
552.8,45,29,37.93,13,12964,Not Active,Not Active,Not Active
562.8,45,29,31.48,28,12953,Not Active,Not Active,Not Active
572.9,44,30,31.12,24,12953,Not Active,Not Active,Not Active
582.9,44,30,30.80,36,12953,Not Active,Not Active,Not Active
593.0,43,31,30.74,27,12948,Not Active,Not Active,Not Active
603.0,43,31,30.48,26,12948,Not Active,Not Active,Not Active
613.1,43,31,31.05,27,12960,Not Active,Not Active,Not Active
623.1,43,31,30.43,42,12959,Not Active,Not Active,Not Active
633.2,42,32,30.06,28,12952,Not Active,Not Active,Not Active
643.2,42,32,30.21,36,12952,Not Active,Not Active,Not Active
653.3,42,32,30.26,33,12948,Not Active,Not Active,Not Active
663.3,42,32,29.76,29,12948,Not Active,Not Active,Not Active
673.4,42,32,30.14,33,12959,Not Active,Not Active,Not Active
683.4,42,32,30.02,51,12953,Not Active,Not Active,Not Active
693.4,42,32,30.14,30,12953,Not Active,Not Active,Not Active
